,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
1690,20200110,CASH,,,162620756.06980002,,,,,
1691,20200110,STOCK,,0.0,,,,,,
1692,20200110,000906.XSHG,,218627950.0,,hold,,50000.0,,
1693,20200110,INDEX,,218627950.0,,,,,,
1694,20200110,ALL,381248706.0698,218627950.0,162620756.06980002,,,,,
1695,20200113,CASH,,,162620756.06980002,,,,,
1696,20200113,STOCK,,0.0,,,,,,
1697,20200113,000906.XSHG,,221018365.0,,hold,,50000.0,,
1698,20200113,INDEX,,221018365.0,,,,,,
1699,20200113,ALL,383639121.0698,221018365.0,162620756.06980002,,,,,
1700,20200114,CASH,,,162620756.06980002,,,,,
1701,20200114,STOCK,,0.0,,,,,,
1702,20200114,000906.XSHG,,220290029.99999997,,hold,,50000.0,,
1703,20200114,INDEX,,220290029.99999997,,,,,,
1704,20200114,ALL,382910786.0698,220290029.99999997,162620756.06980002,,,,,
1705,20200115,CASH,,,162620756.06980002,,,,,
1706,20200115,STOCK,,0.0,,,,,,
1707,20200115,000906.XSHG,,219249485.0,,hold,,50000.0,,
1708,20200115,INDEX,,219249485.0,,,,,,
1709,20200115,ALL,381870241.0698,219249485.0,162620756.06980002,,,,,
1710,20200116,CASH,,,162620756.06980002,,,,,
1711,20200116,STOCK,,0.0,,,,,,
1712,20200116,000906.XSHG,,218522314.99999997,,hold,,50000.0,,
1713,20200116,INDEX,,218522314.99999997,,,,,,
1714,20200116,ALL,381143071.0698,218522314.99999997,162620756.06980002,,,,,
1715,20200117,CASH,,,162620756.06980002,,,,,
1716,20200117,STOCK,,0.0,,,,,,
1717,20200117,000906.XSHG,,218583669.99999997,,hold,,50000.0,,
1718,20200117,INDEX,,218583669.99999997,,,,,,
1719,20200117,ALL,381204426.0698,218583669.99999997,162620756.06980002,,,,,
1720,20200120,CASH,,,162620756.06980002,,,,,
1721,20200120,STOCK,,0.0,,,,,,
1722,20200120,000906.XSHG,,220564545.0,,hold,,50000.0,,
1723,20200120,INDEX,,220564545.0,,,,,,
1724,20200120,ALL,383185301.0698,220564545.0,162620756.06980002,,,,,
1725,20200121,CASH,,,162620756.06980002,,,,,
1726,20200121,STOCK,,0.0,,,,,,
1727,20200121,000906.XSHG,,217103470.00000003,,hold,,50000.0,,
1728,20200121,INDEX,,217103470.00000003,,,,,,
1729,20200121,ALL,379724226.0698,217103470.00000003,162620756.06980002,,,,,
1730,20200122,CASH,,,162620756.06980002,,,,,
1731,20200122,STOCK,,0.0,,,,,,
1732,20200122,000906.XSHG,,218302730.00000003,,hold,,50000.0,,
1733,20200122,INDEX,,218302730.00000003,,,,,,
1734,20200122,ALL,380923486.0698,218302730.00000003,162620756.06980002,,,,,
1735,20200123,CASH,,,162620756.06980002,,,,,
1736,20200123,STOCK,,0.0,,,,,,
1737,20200123,000906.XSHG,,211297145.0,,hold,,50000.0,,
1738,20200123,INDEX,,211297145.0,,,,,,
1739,20200123,ALL,373917901.0698,211297145.0,162620756.06980002,,,,,
1740,20200203,CASH,,,162620756.06980002,,,,,
1741,20200203,STOCK,,0.0,,,,,,
1742,20200203,000906.XSHG,,194229805.0,,hold,,50000.0,,
1743,20200203,INDEX,,194229805.0,,,,,,
1744,20200203,ALL,356850561.0698,194229805.0,162620756.06980002,,,,,
1745,20200204,CASH,,,162620756.06980002,,,,,
