,date,code,type,hold_vol,hold_days
460,20190726,600519.XSHG,STOCK,165100,5
461,20190726,000906.XSHG,INDEX,50000,140
462,20190729,600031.XSHG,STOCK,400,30
463,20190729,600519.XSHG,STOCK,165100,6
464,20190729,000906.XSHG,INDEX,50000,141
465,20190730,600031.XSHG,STOCK,400,31
466,20190730,600519.XSHG,STOCK,165100,7
467,20190730,000906.XSHG,INDEX,50000,142
468,20190731,600031.XSHG,STOCK,400,32
469,20190731,600519.XSHG,STOCK,165100,8
470,20190731,000906.XSHG,INDEX,50000,143
471,20190801,600031.XSHG,STOCK,400,33
472,20190801,600519.XSHG,STOCK,165100,9
473,20190801,000906.XSHG,INDEX,50000,144
474,20190802,600031.XSHG,STOCK,400,34
475,20190802,600519.XSHG,STOCK,165100,10
476,20190802,000906.XSHG,INDEX,50000,145
477,20190805,600031.XSHG,STOCK,400,35
478,20190805,600519.XSHG,STOCK,165100,11
479,20190805,000906.XSHG,INDEX,50000,146
480,20190806,600031.XSHG,STOCK,400,36
481,20190806,000906.XSHG,INDEX,50000,147
482,20190807,600031.XSHG,STOCK,400,37
483,20190807,000906.XSHG,INDEX,50000,148
484,20190808,600031.XSHG,STOCK,400,38
485,20190808,000906.XSHG,INDEX,50000,149
486,20190809,600031.XSHG,STOCK,400,39
487,20190809,000906.XSHG,INDEX,50000,150
488,20190812,600031.XSHG,STOCK,400,40
489,20190812,000906.XSHG,INDEX,50000,151
490,20190813,600031.XSHG,STOCK,400,41
491,20190813,000906.XSHG,INDEX,50000,152
492,20190814,600031.XSHG,STOCK,400,42
493,20190814,000906.XSHG,INDEX,50000,153
494,20190815,600031.XSHG,STOCK,400,43
495,20190815,000906.XSHG,INDEX,50000,154
496,20190816,600031.XSHG,STOCK,400,44
497,20190816,000906.XSHG,INDEX,50000,155
498,20190819,600031.XSHG,STOCK,400,45
499,20190819,000906.XSHG,INDEX,50000,156
500,20190820,600031.XSHG,STOCK,400,46
501,20190820,600519.XSHG,STOCK,145700,0
502,20190820,000906.XSHG,INDEX,50000,157
503,20190821,600031.XSHG,STOCK,400,47
504,20190821,600519.XSHG,STOCK,145700,1
505,20190821,000906.XSHG,INDEX,50000,158
506,20190822,600031.XSHG,STOCK,400,48
507,20190822,600519.XSHG,STOCK,145700,2
508,20190822,000906.XSHG,INDEX,50000,159
509,20190823,600031.XSHG,STOCK,400,49
510,20190823,600519.XSHG,STOCK,145700,3
511,20190823,000906.XSHG,INDEX,50000,160
512,20190826,600031.XSHG,STOCK,400,50
513,20190826,600519.XSHG,STOCK,145700,4
514,20190826,000906.XSHG,INDEX,50000,161
515,20190827,600031.XSHG,STOCK,400,51
516,20190827,600519.XSHG,STOCK,145700,5
517,20190827,000906.XSHG,INDEX,50000,162
518,20190828,600031.XSHG,STOCK,400,52
519,20190828,600519.XSHG,STOCK,145700,6
520,20190828,000906.XSHG,INDEX,50000,163
521,20190829,600031.XSHG,STOCK,400,53
522,20190829,600519.XSHG,STOCK,145700,7
523,20190829,000906.XSHG,INDEX,50000,164
524,20190830,600519.XSHG,STOCK,145700,8
525,20190830,000906.XSHG,INDEX,50000,165
526,20190902,600519.XSHG,STOCK,145700,9
527,20190902,000906.XSHG,INDEX,50000,166
528,20190903,600519.XSHG,STOCK,145700,10
529,20190903,000906.XSHG,INDEX,50000,167
530,20190904,600519.XSHG,STOCK,145700,11
531,20190904,000906.XSHG,INDEX,50000,168
532,20190905,600519.XSHG,STOCK,145700,12
533,20190905,000906.XSHG,INDEX,50000,169
534,20190906,600519.XSHG,STOCK,145700,13
535,20190906,000906.XSHG,INDEX,50000,170
536,20190909,600519.XSHG,STOCK,145700,14
537,20190909,000906.XSHG,INDEX,50000,171
538,20190910,600519.XSHG,STOCK,145700,15
539,20190910,000906.XSHG,INDEX,50000,172
540,20190911,600519.XSHG,STOCK,145700,16
541,20190911,000906.XSHG,INDEX,50000,173
542,20190912,600519.XSHG,STOCK,145700,17
543,20190912,000906.XSHG,INDEX,50000,174
544,20190916,600519.XSHG,STOCK,145700,18
545,20190916,000906.XSHG,INDEX,50000,175
546,20190917,600519.XSHG,STOCK,145700,19
547,20190917,000906.XSHG,INDEX,50000,176
548,20190918,600519.XSHG,STOCK,145700,20
549,20190918,000906.XSHG,INDEX,50000,177
550,20190919,600519.XSHG,STOCK,145700,21
551,20190919,000906.XSHG,INDEX,50000,178
552,20190920,600519.XSHG,STOCK,145700,22
553,20190920,000906.XSHG,INDEX,50000,179
554,20190923,600519.XSHG,STOCK,145700,23
555,20190923,000906.XSHG,INDEX,50000,180
556,20190924,600519.XSHG,STOCK,145700,24
557,20190924,000906.XSHG,INDEX,50000,181
558,20190925,600519.XSHG,STOCK,145700,25
559,20190925,000906.XSHG,INDEX,50000,182
560,20190926,600519.XSHG,STOCK,145700,26
561,20190926,000906.XSHG,INDEX,50000,183
562,20190927,600519.XSHG,STOCK,145700,27
563,20190927,000906.XSHG,INDEX,50000,184
564,20190930,600519.XSHG,STOCK,145700,28
565,20190930,000906.XSHG,INDEX,50000,185
566,20191008,600519.XSHG,STOCK,145700,29
567,20191008,000906.XSHG,INDEX,50000,186
568,20191009,600519.XSHG,STOCK,145700,30
569,20191009,000906.XSHG,INDEX,50000,187
570,20191010,600519.XSHG,STOCK,145700,31
571,20191010,000906.XSHG,INDEX,50000,188
572,20191011,600519.XSHG,STOCK,145700,32
573,20191011,000906.XSHG,INDEX,50000,189
574,20191014,600519.XSHG,STOCK,145700,33
575,20191014,000906.XSHG,INDEX,50000,190
576,20191015,600519.XSHG,STOCK,145700,34
577,20191015,000906.XSHG,INDEX,50000,191
578,20191016,600519.XSHG,STOCK,145700,35
579,20191016,000906.XSHG,INDEX,50000,192
580,20191017,600519.XSHG,STOCK,145700,36
581,20191017,000906.XSHG,INDEX,50000,193
582,20191018,600519.XSHG,STOCK,145700,37
